"Len","P31","P50","P356","P1476","P1433","P577"
"SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS","Q13442814","Annegaaike Leopold","10.1002/ieam.4385","SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS","Integrated Environmental Assessment and Management","2021-02-14"
"Science Is Political But Should Not Be Partisan","Q13442814","Annegaaike Leopold","10.1002/ieam.4229","Science Is Political But Should Not Be Partisan","Integrated Environmental Assessment and Management","2019-12-26"
