"Len","P31","P50","P356","P1476","P577"
"Effects of bottleneck blockage on the resilience of an urban stormwater drainage system","Q13442814","Rehan Sadiq","10.1080/02626667.2019.1690657","Effects of bottleneck blockage on the resilience of an urban stormwater drainage system","2019-11-08T10:32:26Z"
"Emergy-based life cycle assessment (Em-LCA) for sustainability appraisal of infrastructure systems: a case study on paved roads","Q13442814","Rehan Sadiq","10.1007/s10098-013-0615-5","Emergy-based life cycle assessment (Em-LCA) for sustainability appraisal of infrastructure systems: a case study on paved roads","2013-04-12T16:15:34Z"
"Emergy-based life cycle assessment (Em-LCA) of multi-unit and single-family residential buildings in Canada","Q13442814","Rehan Sadiq","10.1016/j.ijsbe.2014.09.001","Emergy-based life cycle assessment (Em-LCA) of multi-unit and single-family residential buildings in Canada","2014-10-03T23:11:03Z"
"Empirical models to predict disinfection by-products (DBPs) in drinking water","Q13442814","Rehan Sadiq","10.1016/b978-0-444-52272-6.00282-8","Empirical models to predict disinfection by-products (DBPs) in drinking water","2011-03-07T23:05:56Z"
"Energetic, environmental and economic performance of electric vehicles: Experimental evaluation","Q13442814","Rehan Sadiq","10.1016/j.trd.2014.11.015","Energetic, environmental and economic performance of electric vehicles: Experimental evaluation","2014-12-23T06:46:21Z"
"Energy Efficiency and Global Warming Potential in the Residential Sector: Comparative Evaluation of Canada and Saudi Arabia","Q13442814","Rehan Sadiq","10.1061/(asce)ae.1943-5568.0000253","Energy Efficiency and Global Warming Potential in the Residential Sector: Comparative Evaluation of Canada and Saudi Arabia","2017-04-28T12:00:02Z"
"Energy Performance Assessment Framework for Residential Buildings in Saudi Arabia","Q13442814","Rehan Sadiq","10.3390/su13042232","Energy Performance Assessment Framework for Residential Buildings in Saudi Arabia","2021-02-19T14:06:10Z"
"Energy rating system for climate conscious operation of multi-unit residential buildings","Q13442814","Rehan Sadiq","10.1007/s10098-018-1510-x","Energy rating system for climate conscious operation of multi-unit residential buildings","2018-03-01T08:49:01Z"
"Enhanced fuzzy evidential reasoning using an optimization approach for water quality monitoring","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608561","Enhanced fuzzy evidential reasoning using an optimization approach for water quality monitoring","2013-10-01T18:39:42Z"
"Environmental and economic aspects of production and utilization of RDF as alternative fuel in cement plants: A case study of Metro Vancouver Waste Management","Q13442814","Rehan Sadiq","10.1016/j.resconrec.2013.10.009","Environmental and economic aspects of production and utilization of RDF as alternative fuel in cement plants: A case study of Metro Vancouver Waste Management","2013-11-06T23:15:45Z"
"Environmental assessment under uncertainty using Dempster–Shafer theory and Z-numbers","Q13442814","Rehan Sadiq","10.1007/s12652-019-01228-y","Environmental assessment under uncertainty using Dempster–Shafer theory and Z-numbers","2019-02-06T10:29:58Z"
"Environmental decision-making under uncertainty using intuitionistic fuzzy analytic hierarchy process (IF-AHP)","Q13442814","Rehan Sadiq","10.1007/s00477-007-0197-z","Environmental decision-making under uncertainty using intuitionistic fuzzy analytic hierarchy process (IF-AHP)","2007-11-27T07:42:32Z"
"Environmental risk assessment of acid rock drainage under uncertainty: the probability bounds and PHREEQC approach","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2015.07.022","Environmental risk assessment of acid rock drainage under uncertainty: the probability bounds and PHREEQC approach","2015-07-18T00:02:24Z"
"Estimating risk of contaminant intrusion in distribution networks using fuzzy rule-based modeling","Q13442814","Rehan Sadiq","10.1080/10286600600789276","Estimating risk of contaminant intrusion in distribution networks using fuzzy rule-based modeling","2006-07-17T19:22:01Z"
"Evaluating leakage potential in water distribution systems: a fuzzy-based methodology","Q13442814","Rehan Sadiq","10.2166/aqua.2012.151","Evaluating leakage potential in water distribution systems: a fuzzy-based methodology","2015-12-15T08:42:11Z"
"Evaluating motivation of construction workers: A comparison of fuzzy rule-based model with the traditional expectancy theory","Q13442814","Rehan Sadiq","10.3846/13923730.2014.914103","Evaluating motivation of construction workers: A comparison of fuzzy rule-based model with the traditional expectancy theory","2016-07-12T13:18:29Z"
"Evaluating offshore technologies for produced water management using GreenPro-I—a risk-based life cycle analysis for green and clean process selection and …","Q13442814","Rehan Sadiq","10.1016/j.compchemeng.2004.11.003","Evaluating offshore technologies for produced water management using GreenPro-I—a risk-based life cycle analysis for green and clean process selection and …","2005-01-09T03:16:39Z"
"Evaluating risk of water mains failure using a Bayesian belief network model","Q13442814","Rehan Sadiq","10.1016/j.ejor.2014.06.033","Evaluating risk of water mains failure using a Bayesian belief network model","2014-07-02T06:30:02Z"
"Evaluating water quality failure potential in water distribution systems: a fuzzy-TOPSIS-OWA-based methodology","Q13442814","Rehan Sadiq","10.1007/s11269-013-0283-6","Evaluating water quality failure potential in water distribution systems: a fuzzy-TOPSIS-OWA-based methodology","2013-02-01T16:27:25Z"
"Evaluating water reuse applications under uncertainty: generalized intuitionistic fuzzy-based approach","Q13442814","Rehan Sadiq","10.1007/s00477-017-1449-1","Evaluating water reuse applications under uncertainty: generalized intuitionistic fuzzy-based approach","2017-08-20T08:07:38Z"
"Evaluation of available indices for inherently safer design options","Q13442814","Rehan Sadiq","10.1002/prs.680220203","Evaluation of available indices for inherently safer design options","2004-04-16T21:09:01Z"
"Evaluation of data driven models for pipe burst prediction in urban water distribution systems","Q13442814","Rehan Sadiq","10.1080/1573062x.2019.1637004","Evaluation of data driven models for pipe burst prediction in urban water distribution systems","2019-07-08T04:50:40Z"
"Evaluation of financial incentives for green buildings in Canadian landscape","Q13442814","Rehan Sadiq","10.1016/j.rser.2020.110199","Evaluation of financial incentives for green buildings in Canadian landscape","2020-08-24T03:06:03Z"
"Evaluation of generic types of drilling fluid using a risk-based analytic hierarchy process","Q13442814","Rehan Sadiq","10.1007/s00267-003-0009-2","Evaluation of generic types of drilling fluid using a risk-based analytic hierarchy process","2004-01-24T00:28:02Z"
"Evaluation of slurry settling rate using fuzzy rule-based modeling","Q13442814","Rehan Sadiq","10.1007/s11440-006-0008-6","Evaluation of slurry settling rate using fuzzy rule-based modeling","2006-09-29T06:09:56Z"
"Evaluation of source water protection strategies: a fuzzy-based model","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2013.02.022","Evaluation of source water protection strategies: a fuzzy-based model","2013-03-28T07:45:35Z"
"Evidential cognitive maps","Q13442814","Rehan Sadiq","10.1016/j.knosys.2012.04.007","Evidential cognitive maps","2012-04-12T19:18:45Z"
"Evidential reasoning using extended fuzzy Dempster–Shafer theory for handling various facets of information deficiency","Q13442814","Rehan Sadiq","10.1002/int.20491","Evidential reasoning using extended fuzzy Dempster–Shafer theory for handling various facets of information deficiency","2011-05-31T19:40:57Z"
"Experimental Investigations and CFD Modeling of Contaminant Intrusion in a Water Network during Transient Events","Q13442814","Rehan Sadiq","10.3390/w11071425","Experimental Investigations and CFD Modeling of Contaminant Intrusion in a Water Network during Transient Events","2019-07-11T15:28:28Z"
"Expert Knowledge Base in Integrated Maintenance Models for Engineering Plants","Q13442814","Rehan Sadiq","10.1007/978-3-319-32229-2_36","Expert Knowledge Base in Integrated Maintenance Models for Engineering Plants","2016-05-25T09:49:49Z"
"Exploring the Relationship between Soil Properties and Deterioration of Metallic Pipes Using Predictive Data Mining Methods","Q13442814","Rehan Sadiq","10.1061/(asce)cp.1943-5487.0000032","Exploring the Relationship between Soil Properties and Deterioration of Metallic Pipes Using Predictive Data Mining Methods","2009-07-18T22:00:22Z"
"Exposure to Crystalline Silica Inhalation Among Construction Workers: A Probabilistic Risk Analysis","Q13442814","Rehan Sadiq","10.1080/10807039.2012.707931","Exposure to Crystalline Silica Inhalation Among Construction Workers: A Probabilistic Risk Analysis","2012-09-28T00:40:40Z"
"Fabrication and testing of a miniaturised water quality monitoring ph and conductivity sensors","Q13442814","Rehan Sadiq","10.1016/j.snb.2013.12.002","Fabrication and testing of a miniaturised water quality monitoring ph and conductivity sensors","2013-12-08T13:46:08Z"
"Fate of drilling waste discharges and ecological risk assessment in the Egyptian Red Sea: an aquivalence-based fuzzy analysis","Q13442814","Rehan Sadiq","10.1007/s00477-012-0574-0","Fate of drilling waste discharges and ecological risk assessment in the Egyptian Red Sea: an aquivalence-based fuzzy analysis","2012-02-23T17:17:26Z"
"Fate of drilling wastes in the marine environment","Q13442814","Rehan Sadiq","10.1016/s0098-3004(99)00135-1","Fate of drilling wastes in the marine environment","2002-07-26T02:01:24Z"
"Fault and event tree analyses for process systems risk analysis: uncertainty handling formulations","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2010.01475.x","Fault and event tree analyses for process systems risk analysis: uncertainty handling formulations","2010-08-21T15:42:27Z"
"Fault tree analysis based on TOPSIS and triangular fuzzy number","Q13442814","Rehan Sadiq","10.1007/s13198-014-0323-5","Fault tree analysis based on TOPSIS and triangular fuzzy number","2014-12-03T13:29:08Z"
"Fit-for-purpose wastewater treatment: Conceptualization to development of decision support tool (I)","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2017.06.269","Fit-for-purpose wastewater treatment: Conceptualization to development of decision support tool (I)","2017-07-27T18:19:32Z"
"Fit-for-purpose wastewater treatment: Testing to implementation of decision support tool (II)","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2017.06.268","Fit-for-purpose wastewater treatment: Testing to implementation of decision support tool (II)","2017-07-27T18:20:49Z"
"Framework for continuous performance improvement in small drinking water systems","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2016.08.067","Framework for continuous performance improvement in small drinking water systems","2016-08-15T16:13:54Z"
