"Len","P31","P50","P356","P1476","P577"
"Integrating Bayesian Linear Regression with Ordered Weighted Averaging: Uncertainty Analysis for Predicting Water Main Failures","Q13442814","Rehan Sadiq","10.1061/ajrua6.0000820","Integrating Bayesian Linear Regression with Ordered Weighted Averaging: Uncertainty Analysis for Predicting Water Main Failures","2015-04-08T15:05:53Z"
"Integrating failure prediction models for water mains: Bayesian belief network based data fusion","Q13442814","Rehan Sadiq","10.1016/j.knosys.2015.05.002","Integrating failure prediction models for water mains: Bayesian belief network based data fusion","2015-05-09T07:28:49Z"
"Integrating indicators for performance assessment of small water utilities using ordered weighted averaging (OWA) operators","Q13442814","Rehan Sadiq","10.1016/j.eswa.2009.12.027","Integrating indicators for performance assessment of small water utilities using ordered weighted averaging (OWA) operators","2009-12-17T14:21:34Z"
"Intentional contamination of water distribution networks: developing indicators for sensitivity and vulnerability assessments","Q13442814","Rehan Sadiq","10.1007/s00477-017-1415-y","Intentional contamination of water distribution networks: developing indicators for sensitivity and vulnerability assessments","2017-04-18T11:06:25Z"
"Inter-University sustainability benchmarking for Canadian higher education institutions: Water, energy, and carbon flows for technical-level decision-making","Q13442814","Rehan Sadiq","10.3390/su11092599","Inter-University sustainability benchmarking for Canadian higher education institutions: Water, energy, and carbon flows for technical-level decision-making","2019-05-09T12:19:59Z"
"Inter-Utility Performance Benchmarking Model for Small-to-Medium-Sized Water Utilities: Aggregated Performance Indices","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000552","Inter-Utility Performance Benchmarking Model for Small-to-Medium-Sized Water Utilities: Aggregated Performance Indices","2015-06-22T15:27:37Z"
"International Journal of System Assurance Engineering and Management","Q13442814","Rehan Sadiq","10.1007/13198.0976-4348","International Journal of System Assurance Engineering and Management","2013-05-25T04:22:27Z"
"Interpreting drinking water quality in the distribution system using Dempster–Shafer theory of evidence","Q13442814","Rehan Sadiq","10.1016/j.chemosphere.2004.11.087","Interpreting drinking water quality in the distribution system using Dempster–Shafer theory of evidence","2005-01-19T12:29:53Z"
"Interval belief structure rule-based system using extended fuzzy Dempster-Shafer inference","Q13442814","Rehan Sadiq","10.1109/icsmc.2011.6084122","Interval belief structure rule-based system using extended fuzzy Dempster-Shafer inference","2011-11-23T16:53:12Z"
"Intra-utility performance management model (In-UPM) for the sustainability of small to medium sized water utilities: Conceptualization to development","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2016.06.003","Intra-utility performance management model (In-UPM) for the sustainability of small to medium sized water utilities: Conceptualization to development","2016-06-04T23:13:49Z"
"Investigating evidential reasoning for the interpretation of microbial water quality in a distribution network","Q13442814","Rehan Sadiq","10.1007/s00477-006-0044-7","Investigating evidential reasoning for the interpretation of microbial water quality in a distribution network","2006-03-08T10:39:11Z"
"Investigating the effects of design and management factors on DBPs levels in indoor aquatic centres","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2018.09.172","Investigating the effects of design and management factors on DBPs levels in indoor aquatic centres","2018-09-17T16:21:17Z"
"Investigating the impacts of plausible Canadian policies and their supporting mechanisms on export-based regional air pollution in China: A cement manufacturing case study","Q13442814","Rehan Sadiq","10.1139/facets-2017-0109","Investigating the impacts of plausible Canadian policies and their supporting mechanisms on export-based regional air pollution in China: A cement manufacturing case study","2018-10-11T10:00:59Z"
"Investigating the impacts of urban densification on buried water infrastructure through DPSIR framework","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.120897","Investigating the impacts of urban densification on buried water infrastructure through DPSIR framework","2020-03-05T22:40:58Z"
"Investigating the public health risks of low impact developments at residential, neighbourhood, and municipal levels","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2020.140778","Investigating the public health risks of low impact developments at residential, neighbourhood, and municipal levels","2020-07-06T15:10:58Z"
"Investigating unregulated disinfection byproduct reduction efficiencies in drinking waters using zirconium oxychloride, a novel coagulant","Q13442814","Rehan Sadiq","10.1016/j.jwpe.2020.101496","Investigating unregulated disinfection byproduct reduction efficiencies in drinking waters using zirconium oxychloride, a novel coagulant","2020-07-11T00:17:16Z"
"Landmine detection using an autonomous terrain‐scanning robot","Q13442814","Rehan Sadiq","10.1108/01439910510593938","Landmine detection using an autonomous terrain‐scanning robot","2005-06-01T00:02:59Z"
"Leakage detection and location in water distribution systems using a fuzzy-based methodology","Q13442814","Rehan Sadiq","10.1080/1573062x.2011.617829","Leakage detection and location in water distribution systems using a fuzzy-based methodology","2011-10-18T03:10:00Z"
"Life Cycle Thinking–Based Selection of Building Facades","Q13442814","Rehan Sadiq","10.1061/(asce)ae.1943-5568.0000333","Life Cycle Thinking–Based Selection of Building Facades","2018-09-18T15:49:37Z"
"Life cycle assessment of low-temperature thermal desorption-based technologies for drill cuttings treatment","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2020.123865","Life cycle assessment of low-temperature thermal desorption-based technologies for drill cuttings treatment","2020-09-02T16:21:43Z"
"Life cycle assessment of residential buildings: a case study in Canada","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2020.109940","Life cycle assessment of residential buildings: a case study in Canada","2020-04-06T02:58:56Z"
"Life cycle cost analysis for recycling high-tech minerals from waste mobile phones in China","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119498","Life cycle cost analysis for recycling high-tech minerals from waste mobile phones in China","2019-12-04T13:28:24Z"
"Life cycle greenhouse gas footprint of shale gas: a probabilistic approach","Q13442814","Rehan Sadiq","10.1007/s00477-014-0874-7","Life cycle greenhouse gas footprint of shale gas: a probabilistic approach","2014-04-10T13:55:14Z"
"Life cycle iNdeX (LInX): a new indexing procedure for process and product design and decision-making","Q13442814","Rehan Sadiq","10.1016/s0959-6526(02)00194-4","Life cycle iNdeX (LInX): a new indexing procedure for process and product design and decision-making","2003-03-04T16:04:10Z"
"Life cycle sustainability assessment (LCSA) for selection of sewer pipe materials","Q13442814","Rehan Sadiq","10.1007/s10098-014-0849-x","Life cycle sustainability assessment (LCSA) for selection of sewer pipe materials","2014-09-18T20:53:45Z"
"Low-temperature thermal desorption and secure landfill for oil-based drill cuttings management: Pollution control, human health risk, and probabilistic cost assessment","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2020.124570","Low-temperature thermal desorption and secure landfill for oil-based drill cuttings management: Pollution control, human health risk, and probabilistic cost assessment","2020-11-14T12:40:07Z"
"Machine learning approaches to predict coagulant dosage in water treatment plants","Q13442814","Rehan Sadiq","10.1007/s13198-013-0166-5","Machine learning approaches to predict coagulant dosage in water treatment plants","2013-05-17T10:52:44Z"
"Management of Civil Infrastructure Systems: QFD-Based Approach","Q13442814","Rehan Sadiq","10.1061/(asce)is.1943-555x.0000150","Management of Civil Infrastructure Systems: QFD-Based Approach","2013-02-21T13:54:15Z"
"Management of failure risk in large-diameter buried pipes using fuzzy-based techniques","Q13442814","Rehan Sadiq","10.2166/aqua.2006.075","Management of failure risk in large-diameter buried pipes using fuzzy-based techniques","2015-12-15T08:43:34Z"
"Managing water main breaks in distribution networks––A risk-based decision making","Q13442814","Rehan Sadiq","10.1016/j.ress.2019.106581","Managing water main breaks in distribution networks––A risk-based decision making","2019-07-13T14:40:54Z"
"Mapping safety culture attributes with integrity management program to achieve assessment goals: A framework for oil and gas pipelines industry","Q13442814","Rehan Sadiq","10.1016/j.jsr.2018.12.010","Mapping safety culture attributes with integrity management program to achieve assessment goals: A framework for oil and gas pipelines industry","2018-12-28T22:59:26Z"
"Marine water quality assessment of synthetic-based drilling waste discharges","Q13442814","Rehan Sadiq","10.1080/00207230304729","Marine water quality assessment of synthetic-based drilling waste discharges","2003-09-18T22:32:58Z"
"Mattress","Q13442814","Rehan Sadiq","10.1163/1574-9347_bnp_e726670","Mattress","2014-08-18T06:52:15Z"
"Microbial quality of reclaimed water for urban reuses: Probabilistic risk-based investigation and recommendations","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2016.10.105","Microbial quality of reclaimed water for urban reuses: Probabilistic risk-based investigation and recommendations","2016-10-28T11:00:14Z"
"Minimizing the impacts of contaminant intrusion in small water distribution networks through booster chlorination optimization","Q13442814","Rehan Sadiq","10.1007/s00477-017-1440-x","Minimizing the impacts of contaminant intrusion in small water distribution networks through booster chlorination optimization","2017-08-01T19:48:34Z"
"Modeling DBPs formation in drinking water in residential plumbing pipes and hot water tanks","Q13442814","Rehan Sadiq","10.1016/j.watres.2010.08.002","Modeling DBPs formation in drinking water in residential plumbing pipes and hot water tanks","2010-08-12T08:39:13Z"
"Modeling contaminant intrusion in water distribution networks based on D numbers","Q13442814","Rehan Sadiq","10.1016/j.eswa.2010.07.004","Modeling contaminant intrusion in water distribution networks based on D numbers","2010-07-20T09:01:52Z"
"Modeling exposure period for solar disinfection (SODIS) under varying turbidity and cloud cover conditions","Q13442814","Rehan Sadiq","10.1007/s10098-013-0677-4","Modeling exposure period for solar disinfection (SODIS) under varying turbidity and cloud cover conditions","2013-10-03T13:23:20Z"
"Modeling failure risk in buried pipes using fuzzy Markov deterioration process","Q13442814","Rehan Sadiq","10.1061/40745(146)7","Modeling failure risk in buried pipes using fuzzy Markov deterioration process","2004-11-17T15:18:16Z"
"Modeling hydraulics and water quality in distribution networks: a review of existing mathematical techniques and software","Q13442814","Rehan Sadiq","10.1016/b978-0-12-820644-7.00022-0","Modeling hydraulics and water quality in distribution networks: a review of existing mathematical techniques and software","2021-02-21T23:33:06Z"
"Modeling of heterotrophic bacteria in a water distribution system","Q13442814","Rehan Sadiq","10.1016/j.watres.2008.11.030","Modeling of heterotrophic bacteria in a water distribution system","2008-12-05T15:22:23Z"
"Modeling pipe deterioration using soil properties-an application of fuzzy logic expert system","Q13442814","Rehan Sadiq","10.1061/40745(146)73","Modeling pipe deterioration using soil properties-an application of fuzzy logic expert system","2004-11-17T15:18:16Z"
"Modeling the deterioration of buried infrastructure as a fuzzy Markov process. Submitted for publication to","Q13442814","Rehan Sadiq","10.2166/aqua.2006.074","Modeling the deterioration of buried infrastructure as a fuzzy Markov process. Submitted for publication to","2015-12-15T08:44:07Z"
"Modelling the potential for water quality failures in distribution networks: framework (I)","Q13442814","Rehan Sadiq","10.2166/aqua.2010.059","Modelling the potential for water quality failures in distribution networks: framework (I)","2013-04-16T09:48:29Z"
"Modelling the regional variability of the probability of high trihalomethane occurrence in municipal drinking water","Q13442814","Rehan Sadiq","10.1007/s10661-015-4969-5","Modelling the regional variability of the probability of high trihalomethane occurrence in municipal drinking water","2015-11-12T12:44:19Z"
"Multi-level information fusion for spatiotemporal monitoring in water distribution networks","Q13442814","Rehan Sadiq","10.1016/j.eswa.2014.11.014","Multi-level information fusion for spatiotemporal monitoring in water distribution networks","2014-12-01T01:46:36Z"
"Multi-objective transient peak shaving optimization of a gas pipeline system under demand uncertainty","Q13442814","Rehan Sadiq","10.1016/j.compchemeng.2021.107260","Multi-objective transient peak shaving optimization of a gas pipeline system under demand uncertainty","2021-02-16T04:24:32Z"
"Multi-period maintenance planning for public buildings: A risk based approach for climate conscious operation","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.09.178","Multi-period maintenance planning for public buildings: A risk based approach for climate conscious operation","2017-09-18T19:28:09Z"
"Multicriteria information fusion using a fuzzy evidential rule-based framework","Q13442814","Rehan Sadiq","10.1109/icsmc.2012.6378014","Multicriteria information fusion using a fuzzy evidential rule-based framework","2012-12-18T21:52:04Z"
"Multilevel performance management framework for small to medium sized water utilities in Canada","Q13442814","Rehan Sadiq","10.1139/cjce-2015-0227","Multilevel performance management framework for small to medium sized water utilities in Canada","2015-08-17T21:36:05Z"
"Multimedia fate of oil spills in a marine environment—An integrated modelling approach","Q13442814","Rehan Sadiq","10.1016/j.psep.2007.10.002","Multimedia fate of oil spills in a marine environment—An integrated modelling approach","2009-09-24T13:53:21Z"
"Multiple stakeholders in multi-criteria decision-making in the context of municipal solid waste management: a review","Q13442814","Rehan Sadiq","10.1016/j.wasman.2014.09.010","Multiple stakeholders in multi-criteria decision-making in the context of municipal solid waste management: a review","2014-10-07T18:29:31Z"
"Networked fuzzy belief rule-based system for spatiotemporal monitoring","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608519","Networked fuzzy belief rule-based system for spatiotemporal monitoring","2013-10-01T18:39:42Z"
"Numerical Study on Stress Concentration Factors at Splice Welds of Structural Steel Pipes","Q13442814","Rehan Sadiq","10.4043/25072-ms","Numerical Study on Stress Concentration Factors at Splice Welds of Structural Steel Pipes","2015-02-25T17:14:04Z"
"Occupant-based energy upgrades selection for Canadian residential buildings based on field energy data and calibrated simulations","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122430","Occupant-based energy upgrades selection for Canadian residential buildings based on field energy data and calibrated simulations","2020-06-16T03:30:48Z"
"Offshore Drilling Waste Discharge: Egyptian Environmental Regulations","Q13442814","Rehan Sadiq","10.2118/161446-ms","Offshore Drilling Waste Discharge: Egyptian Environmental Regulations","2012-11-11T08:03:00Z"
"On the issue of incomplete and missing water-quality data in mine site databases: comparing three imputation methods","Q13442814","Rehan Sadiq","10.1007/s10230-014-0322-4","On the issue of incomplete and missing water-quality data in mine site databases: comparing three imputation methods","2014-12-13T05:55:57Z"
"Online drinking water quality monitoring: review on available and emerging technologies","Q13442814","Rehan Sadiq","10.1080/10643389.2013.781936","Online drinking water quality monitoring: review on available and emerging technologies","2013-09-06T12:17:37Z"
"Online monitoring of drinking water quality in a distribution network: a selection procedure for suitable water quality parameters and sensor devices","Q13442814","Rehan Sadiq","10.1007/s13198-012-0133-6","Online monitoring of drinking water quality in a distribution network: a selection procedure for suitable water quality parameters and sensor devices","2012-10-30T12:34:23Z"
"Opportunities and challenges in energy demand reduction for Canadian residential sector: A review","Q13442814","Rehan Sadiq","10.1016/j.rser.2017.07.021","Opportunities and challenges in energy demand reduction for Canadian residential sector: A review","2017-07-11T09:00:54Z"
"Optimal renewable energy supply choices for net-zero ready buildings: A life cycle thinking approach under uncertainty","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2019.07.030","Optimal renewable energy supply choices for net-zero ready buildings: A life cycle thinking approach under uncertainty","2019-07-17T15:51:22Z"
"Optimization of chlorination boosters in drinking water distribution network for Al-Khobar City in Saudi Arabia","Q13442814","Rehan Sadiq","10.1007/s12517-016-2552-1","Optimization of chlorination boosters in drinking water distribution network for Al-Khobar City in Saudi Arabia","2016-07-07T11:03:44Z"
"Optimization of hydraulic fracturing wastewater management alternatives: A hybrid multi-objective linear programming model","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.124950","Optimization of hydraulic fracturing wastewater management alternatives: A hybrid multi-objective linear programming model","2020-11-05T13:43:56Z"
"Optimization of integrated fuzzy decision tree and regression models for selection of oil spill response method in the Arctic","Q13442814","Rehan Sadiq","10.1016/j.knosys.2020.106676","Optimization of integrated fuzzy decision tree and regression models for selection of oil spill response method in the Arctic","2020-12-18T14:54:09Z"
"Optimizing Locations for Chlorine Booster Stations in Small Water Distribution Networks","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000759","Optimizing Locations for Chlorine Booster Stations in Small Water Distribution Networks","2017-03-17T14:34:04Z"
"Optimizing booster chlorination in water distribution networks: a water quality index approach","Q13442814","Rehan Sadiq","10.1007/s10661-013-3153-z","Optimizing booster chlorination in water distribution networks: a water quality index approach","2013-03-26T01:43:56Z"
"Optimizing residential density based on water–energy–carbon nexus using UTilités Additives (UTA) method","Q13442814","Rehan Sadiq","10.1007/s10098-018-1506-6","Optimizing residential density based on water–energy–carbon nexus using UTilités Additives (UTA) method","2018-02-19T08:47:06Z"
"Ordered visibility graph weighted averaging aggregation operator: A methodology based on network analysis","Q13442814","Rehan Sadiq","10.1016/j.cie.2015.06.021","Ordered visibility graph weighted averaging aggregation operator: A methodology based on network analysis","2015-07-05T11:41:28Z"
"Path toward net-zero buildings: a natural capital assessment framework","Q13442814","Rehan Sadiq","10.1007/s10098-017-1469-z","Path toward net-zero buildings: a natural capital assessment framework","2017-11-27T14:05:25Z"
"Performance Assessment Framework for Small Water Systems: Case Study in British Columbia","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0001297","Performance Assessment Framework for Small Water Systems: Case Study in British Columbia","2020-09-25T11:50:26Z"
"Performance Assessment Model for Municipal Solid Waste Management systems: Development and Implementation","Q13442814","Rehan Sadiq","10.3390/environments6020019","Performance Assessment Model for Municipal Solid Waste Management systems: Development and Implementation","2019-02-12T08:18:20Z"
"Performance benchmarking model for sustainability of aquatic centres in cold regions: Development and implementation","Q13442814","Rehan Sadiq","10.1016/j.spc.2020.12.020","Performance benchmarking model for sustainability of aquatic centres in cold regions: Development and implementation","2020-12-17T07:43:20Z"
"Performance evaluation of employees using Bayesian belief network model","Q13442814","Rehan Sadiq","10.1080/17509653.2017.1312583","Performance evaluation of employees using Bayesian belief network model","2017-05-12T12:15:11Z"
"Performance evaluation of slow sand filters: a probabilistic approach","Q13442814","Rehan Sadiq","10.1016/s1364-8152(03)00165-8","Performance evaluation of slow sand filters: a probabilistic approach","2003-10-28T00:35:57Z"
"Performance indicators for aquatic centres in Canada: Identification and selection using fuzzy based methods","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2020.141619","Performance indicators for aquatic centres in Canada: Identification and selection using fuzzy based methods","2020-08-15T14:19:28Z"
"Performance indicators for municipal solid waste management systems in Saudi Arabia: selection and ranking using fuzzy AHP and PROMETHEE II","Q13442814","Rehan Sadiq","10.1007/s12517-019-4645-0","Performance indicators for municipal solid waste management systems in Saudi Arabia: selection and ranking using fuzzy AHP and PROMETHEE II","2019-08-01T23:04:16Z"
"Performance indicators for small- and medium-sized water supply systems: a review","Q13442814","Rehan Sadiq","10.1139/er-2013-0013","Performance indicators for small- and medium-sized water supply systems: a review","2013-07-24T23:46:19Z"
"Performance management of small water treatment plant operations: a decision support system","Q13442814","Rehan Sadiq","10.1111/wej.12248","Performance management of small water treatment plant operations: a decision support system","2017-04-04T19:46:30Z"
"Performance of low-impact development best management practices: a critical review","Q13442814","Rehan Sadiq","10.1139/er-2018-0048","Performance of low-impact development best management practices: a critical review","2018-09-11T21:41:28Z"
"Planning for sustainable stakeholder engagement based on the assessment of conflicting interests in projects","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.118402","Planning for sustainable stakeholder engagement based on the assessment of conflicting interests in projects","2019-09-15T06:23:31Z"
"Planning of cement plants for environmentally friendly production: a fuzzy-weighted stochastic multi-objective model","Q13442814","Rehan Sadiq","10.1007/s10098-019-01757-2","Planning of cement plants for environmentally friendly production: a fuzzy-weighted stochastic multi-objective model","2019-09-22T07:02:26Z"
"Possibilistic approach for consideration of uncertainties to estimate structural capacity of ageing cast iron water mains","Q13442814","Rehan Sadiq","10.1139/l06-042","Possibilistic approach for consideration of uncertainties to estimate structural capacity of ageing cast iron water mains","2006-10-24T17:26:15Z"
"Preamble","Q13442814","Rehan Sadiq","10.1093/law/9780198703969.003.0002","Preamble","2017-06-12T09:42:00Z"
"Predicting copper concentrations in acid mine drainage: a comparative analysis of five machine learning techniques","Q13442814","Rehan Sadiq","10.1007/s10661-012-2859-7","Predicting copper concentrations in acid mine drainage: a comparative analysis of five machine learning techniques","2012-09-15T08:59:39Z"
"Predicting risk of water quality failures in distribution networks under uncertainties using fault-tree analysis","Q13442814","Rehan Sadiq","10.1080/15730620802213504","Predicting risk of water quality failures in distribution networks under uncertainties using fault-tree analysis","2008-11-19T17:11:33Z"
"Predicting the potential of contaminant intrusion in water distribution systems","Q13442814","Rehan Sadiq","10.5942/jawwa.2014.106.0019","Predicting the potential of contaminant intrusion in water distribution systems","2013-12-05T23:18:12Z"
"Predicting unregulated disinfection by-products in small water distribution networks: an empirical modelling framework","Q13442814","Rehan Sadiq","10.1007/s10661-020-08468-y","Predicting unregulated disinfection by-products in small water distribution networks: an empirical modelling framework","2020-07-09T06:59:22Z"
"Predicting water main failures using Bayesian model averaging and survival modelling approach","Q13442814","Rehan Sadiq","10.1016/j.ress.2015.06.011","Predicting water main failures using Bayesian model averaging and survival modelling approach","2015-06-25T19:10:43Z"
"Predicting water main failures: a Bayesian model updating approach","Q13442814","Rehan Sadiq","10.1016/j.knosys.2016.07.024","Predicting water main failures: a Bayesian model updating approach","2016-07-22T15:38:18Z"
"Prediction of Pipe Failure by Considering Time-Dependent Factors: Dynamic Bayesian Belief Network Model","Q13442814","Rehan Sadiq","10.1061/ajrua6.0000920","Prediction of Pipe Failure by Considering Time-Dependent Factors: Dynamic Bayesian Belief Network Model","2017-07-07T05:00:11Z"
"Prioritization of environmental issues in offshore oil and gas operations: A hybrid approach using fuzzy inference system and fuzzy analytic hierarchy process","Q13442814","Rehan Sadiq","10.1016/j.psep.2010.08.006","Prioritization of environmental issues in offshore oil and gas operations: A hybrid approach using fuzzy inference system and fuzzy analytic hierarchy process","2010-09-01T09:47:27Z"
"Prioritization of unregulated disinfection by-products in drinking water distribution systems for human health risk mitigation: A critical review","Q13442814","Rehan Sadiq","10.1016/j.watres.2018.09.054","Prioritization of unregulated disinfection by-products in drinking water distribution systems for human health risk mitigation: A critical review","2018-09-29T09:38:45Z"
"Prioritizing Water Mains for Inspection and Maintenance Considering System Reliability and Risk","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000324","Prioritizing Water Mains for Inspection and Maintenance Considering System Reliability and Risk","2018-05-18T10:00:01Z"
"Prioritizing monitoring locations in a water distribution network: a fuzzy risk approach","Q13442814","Rehan Sadiq","10.2166/aqua.2009.011","Prioritizing monitoring locations in a water distribution network: a fuzzy risk approach","2009-11-02T15:30:03Z"
"Probabilistic risk analysis of corrosion associated failures in cast iron water mains","Q13442814","Rehan Sadiq","10.1016/j.ress.2003.12.007","Probabilistic risk analysis of corrosion associated failures in cast iron water mains","2004-02-11T10:12:47Z"
"Probabilistic risk analysis using ordered weighted averaging (OWA) operators","Q13442814","Rehan Sadiq","10.1007/s00477-006-0090-1","Probabilistic risk analysis using ordered weighted averaging (OWA) operators","2006-11-22T08:45:52Z"
"Probability density functions based weights for ordered weighted averaging (OWA) operators: An example of water quality indices","Q13442814","Rehan Sadiq","10.1016/j.ejor.2006.09.041","Probability density functions based weights for ordered weighted averaging (OWA) operators: An example of water quality indices","2006-12-06T12:13:37Z"
"Probability of network disconnection of water distribution system for maintenance prioritization","Q13442814","Rehan Sadiq","10.2166/aqua.2018.097","Probability of network disconnection of water distribution system for maintenance prioritization","2018-03-08T01:10:49Z"
"Process Safety and Environmental Protection","Q13442814","Rehan Sadiq","10.1016/s0957-5820(07)00032-8","Process Safety and Environmental Protection","2008-12-16T07:52:15Z"
"Project deployment strategies for community renewable energy: A dynamic multi-period planning approach","Q13442814","Rehan Sadiq","10.1016/j.renene.2020.01.045","Project deployment strategies for community renewable energy: A dynamic multi-period planning approach","2020-01-17T01:28:05Z"
"Prospects of integrating carbon capturing into community scale energy systems","Q13442814","Rehan Sadiq","10.1016/j.rser.2020.110193","Prospects of integrating carbon capturing into community scale energy systems","2020-08-26T16:25:56Z"
"Quality Function Deployment (QFD) for Bridge Maintenance","Q13442814","Rehan Sadiq","10.1007/springerreference_7120","Quality Function Deployment (QFD) for Bridge Maintenance","2011-08-01T13:52:55Z"
"RM-DEMATEL: a new methodology to identify the key factors in PM 2.5","Q13442814","Rehan Sadiq","10.1007/s11356-015-4229-9","RM-DEMATEL: a new methodology to identify the key factors in PM 2.5","2015-03-01T23:36:28Z"
"Ranking discrete fuzzy linguistic performance based on TODIM method","Q13442814","Rehan Sadiq","10.1007/s13198-014-0317-3","Ranking discrete fuzzy linguistic performance based on TODIM method","2014-12-08T14:38:49Z"
"Reconciling ‘actual’ risk with ‘perceived’ risk for distributed water quality: a QFD-based approach","Q13442814","Rehan Sadiq","10.2166/aqua.2011.108","Reconciling ‘actual’ risk with ‘perceived’ risk for distributed water quality: a QFD-based approach","2011-09-05T11:44:03Z"
"Redefining green buildings: BIM-based framework for zero impact civil infrastructure","Q13442814","Rehan Sadiq","10.1061/9780784482858.013","Redefining green buildings: BIM-based framework for zero impact civil infrastructure","2020-11-09T10:40:22Z"
"Reliability Assessment for Water Supply Systems under Uncertainties","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000349","Reliability Assessment for Water Supply Systems under Uncertainties","2013-01-18T03:15:48Z"
"Removal of urea from swimming pool water by UV/VUV: The roles of additives, mechanisms, influencing factors, and reaction products","Q13442814","Rehan Sadiq","10.1016/j.watres.2019.05.098","Removal of urea from swimming pool water by UV/VUV: The roles of additives, mechanisms, influencing factors, and reaction products","2019-06-01T12:32:53Z"
"Renewable energy based mine reclamation strategy: A hybrid fuzzy-based network analysis","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.05.073","Renewable energy based mine reclamation strategy: A hybrid fuzzy-based network analysis","2019-05-08T18:13:14Z"
"Renewable energy selection for net-zero energy communities: Life cycle based decision making under uncertainty","Q13442814","Rehan Sadiq","10.1016/j.renene.2018.06.086","Renewable energy selection for net-zero energy communities: Life cycle based decision making under uncertainty","2018-06-26T15:40:59Z"
"Rethinking investment planning and optimizing net zero emission buildings","Q13442814","Rehan Sadiq","10.1007/s10098-017-1359-4","Rethinking investment planning and optimizing net zero emission buildings","2017-04-29T04:11:32Z"
"Reviewing source water protection strategies: A conceptual model for water quality assessment","Q13442814","Rehan Sadiq","10.1139/a11-001","Reviewing source water protection strategies: A conceptual model for water quality assessment","2011-04-24T20:24:52Z"
"Risk analysis for oil & gas pipelines: A sustainability assessment approach using fuzzy based bow-tie analysis","Q13442814","Rehan Sadiq","10.1016/j.jlp.2011.12.007","Risk analysis for oil & gas pipelines: A sustainability assessment approach using fuzzy based bow-tie analysis","2011-12-20T18:33:47Z"
"Risk analysis for water quality deterioration in distribution networks","Q13442814","Rehan Sadiq","10.1061/40507(282)15","Risk analysis for water quality deterioration in distribution networks","2008-11-04T17:09:03Z"
"Risk analysis in a linguistic environment: a fuzzy evidential reasoning-based approach","Q13442814","Rehan Sadiq","10.1016/j.eswa.2011.06.018","Risk analysis in a linguistic environment: a fuzzy evidential reasoning-based approach","2011-07-05T08:26:30Z"
"Risk and life cycle cost based asset management framework for aging water supply system","Q13442814","Rehan Sadiq","10.4324/9781315142074-16","Risk and life cycle cost based asset management framework for aging water supply system","2019-02-07T14:34:39Z"
"Risk management of large-diameter water transmission mains","Q13442814","Rehan Sadiq","10.1061/40800(180)20","Risk management of large-diameter water transmission mains","2005-12-21T10:47:59Z"
"Risk-Based Framework for Improving Customer Satisfaction through System Reliability in Small-Sized to Medium-Sized Water Utilities","Q13442814","Rehan Sadiq","10.1061/(asce)me.1943-5479.0000435","Risk-Based Framework for Improving Customer Satisfaction through System Reliability in Small-Sized to Medium-Sized Water Utilities","2016-03-28T15:30:24Z"
"Risk-based decision-making for drilling waste discharges using a fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.1016/j.oceaneng.2004.05.001","Risk-based decision-making for drilling waste discharges using a fuzzy synthetic evaluation technique","2004-08-31T13:27:23Z"
"Risk-based environmental decision-making using fuzzy analytic hierarchy process (F-AHP)","Q13442814","Rehan Sadiq","10.1007/s00477-006-0042-9","Risk-based environmental decision-making using fuzzy analytic hierarchy process (F-AHP)","2006-03-17T10:49:44Z"
"Risk-based framework for optimizing residual chlorine in large water distribution systems","Q13442814","Rehan Sadiq","10.1007/s10661-017-5989-0","Risk-based framework for optimizing residual chlorine in large water distribution systems","2017-06-01T21:40:37Z"
"Risk-based prioritization of air pollution monitoring using fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.1007/s10661-005-3852-1","Risk-based prioritization of air pollution monitoring using fuzzy synthetic evaluation technique","2005-05-03T12:51:18Z"
