"qid","Len","P31","P50","P356","P921","P1476"
"","SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS","Q13442814","('Annegaaike Leopold',)","10.1002/ieam.4385","geography, planning and development","SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS"
"","Science Is Political But Should Not Be Partisan","Q13442814","('Annegaaike Leopold',)","10.1002/ieam.4229","geography, planning and development","Science Is Political But Should Not Be Partisan"
